file_id,file_path,category,created_date,full_text
18,docs/rag_overview.txt,ml,2024-02-01,"Retrieval-augmented generation combines retrieval and generation. Retrieve relevant documents, then pass them as context to an LLM. Improves factual accuracy and reduces hallucination."
19,docs/postgres_setup.txt,database,2024-02-02,"PostgreSQL is an open-source relational database. Install with package manager, then initdb and start the server. Create database with CREATE DATABASE. Use psql for the command-line client."
20,docs/redis_cache.txt,database,2024-02-03,"Redis is an in-memory key-value store. Use for caching, sessions, and queues. Commands: SET, GET, INCR. Set TTL with EXPIRE. Use connection pooling in production."
21,docs/http_basics.txt,web,2024-02-04,"HTTP has request and response. Request has method, path, headers, body. Response has status code, headers, body. Common codes: 200 OK, 201 Created, 400 Bad Request, 500 Server Error."
22,docs/json_format.txt,web,2024-02-05,"JSON is a text format for data exchange. Objects use curly braces, arrays use square brackets. Parse with json.loads() in Python. Validate schema for APIs."
23,docs/async_python.txt,programming,2024-02-06,"Async in Python uses async/await. Define async def for coroutines. Run with asyncio.run(). Use await for I/O-bound tasks. Avoid blocking calls inside async functions."
24,docs/testing_pytest.txt,programming,2024-02-07,"pytest discovers tests in test_*.py files. Use assert for checks. Fixtures provide setup. Run with pytest -v. Mock with pytest-mock or unittest.mock."
25,docs/logging.txt,programming,2024-02-08,"Use the logging module. Set level: DEBUG, INFO, WARNING, ERROR. Configure handlers for file and console. Use structured logging for production. Do not log secrets."
26,docs/env_variables.txt,setup,2024-02-09,"Store config in environment variables. In Python use os.environ or python-dotenv. Never commit .env to git. Use different values per environment."
27,docs/ci_cd.txt,devops,2024-02-10,"CI/CD automates build, test, and deploy. GitHub Actions, GitLab CI, Jenkins are options. Run tests on every push. Deploy to staging then production with approval."
28,docs/kubernetes_basics.txt,devops,2024-02-11,"Kubernetes orchestrates containers. Pods are the smallest unit. Deployments manage replicas. Services expose pods. Use kubectl to manage the cluster."
29,docs/transformer_architecture.txt,ml,2024-02-12,"Transformers use self-attention over sequences. No recurrence, parallelizable. BERT for encoding, GPT for generation. Pre-train then fine-tune on downstream tasks."
30,docs/fine_tuning.txt,ml,2024-02-13,"Fine-tuning adapts a pre-trained model to your task. Use smaller learning rate. Freeze early layers optionally. Need labeled data. Watch for overfitting on small datasets."
31,docs/embedding_models.txt,ml,2024-02-14,"Sentence transformers produce semantic embeddings. Models like all-MiniLM-L6-v2 are fast. Use for semantic search and retrieval. Encode with model.encode(texts)."
32,docs/chunking_strategy.txt,ml,2024-02-15,"For RAG, chunk documents into overlapping segments. Typical size 256-512 tokens. Overlap preserves context. Chunk by paragraph or sentence for cleaner boundaries."
33,docs/evaluation_metrics.txt,ml,2024-02-16,"Evaluation: accuracy for classification, BLEU/ROUGE for generation, recall@k for retrieval. Use held-out test set. Track metrics over time in production."
34,docs/security_basics.txt,web,2024-02-17,"Security: validate input, use parameterized queries for SQL, escape output for XSS. HTTPS only. Keep dependencies updated. Principle of least privilege."
35,docs/rate_limiting.txt,web,2024-02-18,"Rate limiting protects APIs from abuse. Limit by IP or API key. Use token bucket or sliding window. Return 429 Too Many Requests. Set Retry-After header."
36,docs/monitoring.txt,devops,2024-02-19,"Monitoring: collect metrics (Prometheus), logs (ELK), traces (Jaeger). Set alerts on error rate and latency. Use dashboards for visibility. Define SLOs."
37,docs/caching_strategies.txt,web,2024-02-20,"Caching: cache-aside, write-through, write-behind. Set TTL. Invalidate on updates. Use ETag for conditional requests. Cache at CDN for static assets."
38,docs/microservices.txt,web,2024-02-21,"Microservices split an app into small services. Each has its own deployment and data. Communicate via HTTP or message queue. Handle partial failure and eventual consistency."
39,docs/error_handling.txt,programming,2024-02-22,"Handle errors explicitly. Use try/except in Python. Log and re-raise or return error response. Custom exception types for domain errors. Fail fast in development."
40,docs/type_hints.txt,programming,2024-02-23,"Type hints improve readability and enable static checking. Use typing module: List, Dict, Optional. Run mypy for type checking. Gradual typing is supported."
41,docs/virtual_env.txt,setup,2024-02-24,"Virtual environments isolate project dependencies. Create with python -m venv venv. Activate with source venv/bin/activate. Use pip or poetry for packages."
42,docs/dependency_management.txt,setup,2024-02-25,"Pin versions in requirements.txt or pyproject.toml. Use lock files for reproducible installs. Separate dev and prod dependencies. Audit with pip-audit."
43,docs/data_preprocessing.txt,ml,2024-02-26,"Preprocessing: handle missing values, normalize or standardize, encode categories. Split into train/val/test. Avoid data leakage from test set."
44,docs/cross_validation.txt,ml,2024-02-27,"Cross-validation splits data into folds. Train on k-1, validate on 1, rotate. Use for small datasets. Stratified k-fold for classification to preserve class balance."
45,docs/hyperparameter_tuning.txt,ml,2024-02-28,"Tune hyperparameters with grid search, random search, or Bayesian optimization. Use validation set. Consider Optuna or Ray Tune for efficiency."
46,docs/model_serving.txt,ml,2024-02-29,"Serve models via REST API or gRPC. Use batch inference for throughput. Version models and A/B test. Monitor latency and throughput in production."
47,docs/etl_pipeline.txt,database,2024-03-01,"ETL: Extract from sources, Transform (clean, aggregate), Load into warehouse. Use Airflow or Prefect for scheduling. Idempotent and resumable pipelines."
48,docs/data_warehouse.txt,database,2024-03-02,"Data warehouse stores historical data for analytics. Star or snowflake schema. Dimension and fact tables. Use for reporting and BI tools."
49,docs/version_control.txt,devops,2024-03-03,"Version control tracks changes. Commit often with clear messages. Use branches for features. Tag releases. .gitignore sensitive and generated files."
50,docs/documentation.txt,setup,2024-03-04,"Document code with docstrings and comments. Keep README updated. Use Sphinx or MkDocs for API docs. Document decisions in ADRs. Examples help users."
